id,author,title,link,description,tag,likes,date,review,size,text,rating,parts,romance,fandom,genre,page
1,Orbit без сахара,Минута слабости,/readfic/1456677,Сквозь пальцы мёрзлые стекает тишина. И одиночества незримая канва переплетается желанием поддаться.,"Драббл,Драма,Повседневность,Психология,Стихи",7178,2013-12-03,212,135,"Нет, не спасти, не сохранить. Боясь сорваться,
Сквозь пальцы мёрзлые стекает тишина.
И одиночества незримая канва
Переплетается желанием поддаться,
Нагой спиной коснуться илистого дна,
Закрыть глаза и, выпуская воздух, сдаться.

Наполнить лёгкие последней каплей смысла,
Ещё хранящейся в чернильной пустоте,
Скользнуть за грань, где на невидимой черте
Смогу забыться в водах траурного Стикса.
Но вы зачтёте мне как проигрыш в войне
Минуту слабости с оттенком эгоизма.

Не вам судить меня, погрязшие в двуличном
И равнодушие приведшие на трон.
На лжи взращенные под крыльями ворон,
Нет, не поймёте силы преданности ближним.
Хочу покоя, но грядёт Армагеддон,
И в этой битве мой клинок не будет лишним.


...а отдохну я после ваших похорон.
",G,Нет,Джен,Ориджиналы,Повседневность,1
2,Orbit без сахара,Разбей стекло,/readfic/1386452,"Что знаешь ты, заносчивый юнец?","Драббл,Повседневность,Психология,Стихи",6834,2013-11-12,227,120,"Что знаешь ты, заносчивый юнец,
О тлеющих во мраке обещаньях,
О ежедневных разочарованьях,
Началах, так похожих на конец?

Что ведаешь, тепличное дитя,
Взращённое на сказках Голливуда,
О горько-сладком предвкушеньи чуда
И терпкой безысходности «нельзя»?

О чём ты споришь с пеною у рта,
Жонглируя мячом недоцитаты?
Разделишь мир на право-виноватых,
Не зная о Фемиде ни черта.

Как манекен за стёклами витрин,
Сторонний зритель в жизни кинозале,
Ты крутишься в лоскутном карнавале,
Не понимая следствий и причин.

Шаблонный мальчик, наложивший грим,
Совсем пустой, как белый лист бумаги.
Твоя бравада лишена отваги.
Разбей стекло - тогда поговорим.
",G,Нет,Джен,Ориджиналы,Повседневность,1
3,Stocking-chan,"- Мам, я голубой. - Я закачу вечеринку по этому поводу!",/readfic/431680,"Василий решил признаться маме, что он гей. Он ожидал казни через повешение, четвертования, отказа от него, любой реакции. Но не такой...","Пародия,Повседневность,Стёб,Элементы слэша,Юмор",5951,2012-10-14,401,1276,"Василий, тяжело вздохнув, повернул ручку двери, ведущей в квартиру, где жил он и его родители. В нос резко ударил запах шарлотки. Значит, мама в хорошем настроении. Яблоки она обычно дарила некоему «Богу Смерти», а не тратила на пирог. Ну, что поделать, если его мама была анимешницей в юности?

Вася, недовольно бурча себе под нос что-то про то, что он даже завещание не успел составить, зашёл на кухню. Там мама, держа в руках какую-то книжку с цветастой обложкой и чёрно-белыми картинками внутри, помешивала суп, не глядя в кастрюлю.

— Мам? — робко позвал школьник женщину, с некой опаской смотря на неё.

— А? О, привет, Васька, — рыжеволосая женщина закрыла книжечку и отложила её на стол, вытирая руки передником. — Пришёл со школы? Поздновато ты как-то. Чё ты такой серьёзный?

— Мам, у меня тут одна маленькая проблемка обрисовалась…

— Какая? — женщина нахмурилась, взяв в руки половник. Ваську передёрнуло. Всё же получать поварёшкой ему не хотелось.

— Аааа, да н-нет, никакая. Я тут резко передумал. Знаешь, да и проблема вовсе и не проблема, легко решается, да. Ну, я пошёл, да? — школьник широко улыбнулся и хотел было уже выйти из кухни, как тут его остановил строгий голос женщины.

— А ну стоять! Говори, партизан! — взмахнув поварёшкой и отправив несколько капель супа в полёт до занавески, женщина направила своё оружие на сына. Тот молча развернулся и, опустив голову, тяжело вздохнул, зажмурившись.

— Мам, я голубой.

Женщина так и замерла. Вася приготовился было к гневной тираде, пинку под зад с криками «Выметайся из моей квартиры, гомосек! Фу-фу-фу таким быть!», но явно не к тому, что мама крикнет…

— Я закачу вечеринку по этому поводу!

Челюсть ускакала под плиту, да так там и осталась. Пятнадцатилетний парень с удивлением смотрел, как его родная мать схватила в руки телефон.

— Ох, позвоню-ка я Рокудовой, пусть позавидует. Сама мне все школьные годы хвасталась, что у неё сын вырастет геем, а в итоге у неё дочь родилась. И та даже юри не смотрит, натуралка. Тьфу ты, трубку не берёт. А я всегда знала и верила, что ты, сынок, гей. Иди сюда, обнимашки замутим!

С глазами по пять рублей, сын подошёл к женщине и аккуратно обнял её.

— Мам, с тобой всё в порядке?

— Да! Я устрою вечеринку! Мой сын - гей. Гей, понимаешь?!

— Что тут происходит? — на кухню заглянул мужчина. Он сонно зевнул, поправляя на себе растянутую белую футболку.

— Наш сынок - гей! — с щенячьей радостью сообщила ему супруга, тиская сына за щёки.

— Ой ё… — мужчина хлопнул себя рукой по лицу. — Ну всё, это надолго. Вика, где тут борщ? — он заглянул в кастрюльку, приподняв над ней крышку, удостоверился, что варево достаточно солёное, взял большую ложку и кастрюлю и сел за стол напротив жены.

— Пап, а это нормально всё, да?

— Ну, не шовшем. Вернее, нормально, но понимаешь ли… твоя мать, она… тохо немношко, да, кхм, — ответил мужчина, прихлёбывая борщом.

— Ой, что бы ты в этом деле понимал, — отмахнулась от законного мужа женщина, встряхивая сына за плечи. — Ты встречаешься с кем-нибудь?! Господи, о чём это я, конечно встречаешься. Мути с кем угодно, сынок! Но лучше с мальчишками, особенно если они все такие мускулистые, выше тебя, сильные… или ниже тебя, хлипкие, на девочек похожи…

— Ну, я… — Вася ошарашенно смотрел на то, как глаза мамы как-то маньячно блеснули.

— У тебя есть вторая половинка? Ты можешь любить кого угодно, независимо от пола человека!

— Мам, это, конечно, очешуеть, как круто, но…

— Пс. Пс, эй! Понимаешь ли, Вася, когда речь заходит о геях, твоя мама, она…

— Я испеку торт! Куплю много алкоголя! Мы все напьёмся, а вы сделаете это по пьяни. Чёрт, как в лучших фанфиках! — напевала рыжая, доставая из ящичка муку. — А ещё лучше папа сейчас сходит за чипсами, мы с тобой сядем и посмотрим гей-порно. Или лучше яойное аниме? Типа «Тиран, который влюбился»? Или лучше вот с чего начни, — женщина положила на стол перед ошарашенным мальчишкой свою цветастую книжечку. Мальчик рассмотрел на обложке двух парней и надпись «Гламурный бойфренд».

— Блять, началось, — папаша закатил глаза. К этому моменту он ухомячил уже половину кастрюли и нацелился на котлеты, которые стояли на плите.

— Пап, что происхо.. — хотел было спросить Вася, но его перебила мать.

— Мы будем болтать о мальчишках дни напролёт! Ты расскажешь мне все твои эротические фантазии. А ещё лучше я позову тётю Юлю и покажу тебя ей. Пусть позавидует, да. И Рокудову позову. И Вику. О-о-ох, какие у них будут лица, перекосит их от зависти, ух!

— Так, сынок, а теперь тихо поднимайся и медленно отходи от мамы. На, возьми котлет на дорожку, а то сейчас в комнате от неё забаррикадируешься, а поесть нечего будет, — мужчина придвинул к парню блюдо с котлетками и парой кусков хлеба.

— Ты оставишь у себя ночевать своих друзей, понял? Мальчиков там, девочек… или лучше только мальчиков. И там узнаешь, кто ты, уке или семе.

— Что?! Па-а-ап, мне страшно! — школьник подскочил на месте, хватая тарелку с котлетами и вилку.

— Я знал, что такое когда-нибудь случится, — нравоучительно заметил отец, подняв вверх указательный палец. — А теперь беги. Беги, как Форест Гамп. Сверкай пятками и запирайся в комнате.

— Ага! — как только женщина обернулась, сына и след простыл. — Ну вот, Дима, опять мне всё обломал! — рыжая наигранно надула губы, сложив руки на груди.

— Я парня спас, понимаешь? — ответил ей муж, принюхиваясь. — У нас что, что-то горит?

— Чёрт, шарлотка!

_______

— Слышь, Витя! Я тебе рога пообломаю! — буркнул Вася в трубку телефона. — Хреновый был розыгрыш! Моя меня тут чуть ли уже не на мужике женила!

— Ага, шёл бы ты отсюда, петушок. Моя уже помчалась покупать мне камасутру для геев. Это пиздец какой-то, — послышалось в трубке под аккомпанемент чьих-то громких радостных визгов, стуков бокалов и крики «Ну, за нетрадиционных!».

— Чёрт бы их побрал, яойщиц этих, — тяжело вздохнул школьник, отключаясь и уминая котлеты. — Никогда больше не буду с мамой на эту тему говорить, никогда.",G,Нет,Джен,Ориджиналы,Повседневность,1
4,Анна Муссен,"День, о котором квами забыли предупредить",/readfic/3750772,"Ша Нуар смог увидеть ту Маринетт, которая никогда не появится перед Адрианом.","Драббл,Повседневность,Учебные заведения",5612,2015-11-06,136,3019,"Отпрыгивая от летящего в него мусорного бака, юноша, как и полагается коту, без проблем приземляется на ноги и вновь пытается атаковать ряженого человека. 

Прошло уже около получаса с тех пор, как он заметил разбегающихся в панике людей, а ЛедиБаг, по непонятным для него причинам, все никак не появлялась. В связи с этим, Ша Нуару приходилось сражаться с обиженным парижанином в одиночку. Очередной бедняга, попавший в поле зрения Хищной Моли, крушил все вокруг и превращал припаркованные автомобили в двухколесные велосипеды.

— Надо же, а я думал, что активисты за чистый воздух более миролюбивы! — издевательски сказал герой, уворачиваясь от велосипедной цепи, служащей новому злодею оружием.

— Я никому не позволю загрязнять мой город!

Изрядно выдохнувшись, защитник столицы спрятался на одной из крыш, понимая, что без своей Леди ничего не сможет сделать, а значит, нет смысла продолжать тратить силы зазря. Активист же, в это время, не видя больше угрозы для своего метода очищения атмосферы от выхлопных газов, вновь обратил все свое внимание на превращение дорогих четырехколесных друзей мужского населения Парижа, в миленькие двухколесные средства для передвижения, с висящими на рулях корзинками.

— Ну же, ЛедиБаг, ответь! — обращаясь к своему жезлу, а по совместительству некому подобию телефона, взмолился парень. Пятнышек лап на кольце силы оставалось всего две, и это значило, что если девушка не поспешит сюда в ближайшее время, машин в городе не останется.

— Как-то меня не радует добираться до школы на велосипеде. Особенно, если на нем будет плетеная корзинка.

Ша Нуар решил осторожно выглянуть из своего убежища в поисках тех несчастных, не успевших убежать, и к своему удивлению, а больше к откровенному шоку и страху, нашел.
Знакомая девушка, сидящая позади него на всех уроках, сейчас пряталась за одной из пока что уцелевших машин, озираясь по сторонам, видимо в поисках спасения.

— Маринетт! — крикнул Адриан, но одноклассница его не услышала.

«Черт…»

Активист, размахивая своей цепью, царапал машины, тем самым накладывая на них чары, и своеобразное убежище, за которым пряталась брюнетка, было следующим на очереди.

— Беги!

И то ли услышав его, то ли сообразив, что место, выбранное ею, больше не безопасно, девушка со всех ног рванула в противоположную сторону от раба Хищной Моли, выдавая свое местонахождение.

— Грязно! Душно! Воняет! — кричал захваченный акумой человек, последовав 
за старшеклассницей. — Глупые людишки, это вы во всем виноваты! Вы!

Маринетт из последних сил пыталась спастись от взбесившегося Активиста, проклиная свою физическую подготовку, точнее ее отсутствие, и Тикки, которая уже почти полчаса спит в ее сумке и никак не просыпается. Не задолго до того, как к ним в пекарню вбежали перепуганные люди, пытавшиеся, перекричав друг друга, донести до ее отца, что по улицам бродит нечто, превращающее машины в велосипеды, квами пыталась что-то сказать своей хозяйке, будто вспомнив о чем-то очень важном. И если бы не горожане, кричавшие так громко, что было слышно даже в ее комнате, возможно ЛедиБаг услышала бы «это что-то важное» до того, как летающая малышка медленно опустилась на кровать, моментально заснув.

И вот сейчас, даже не имея своего костюма, она прибежала сюда, надеясь что-то исправить и чем-то помочь, но она не подумала, что Маринетт, в отличии от ЛедиБаг, не умеет бегать по стенам, прыгать вверх на несколько метров и очищать прекрасных белых бабочек от зла.

— Тикки, ну проснись же, у нас проблемы!

Свернув в очередной переулок, оказавшийся тупиком, старшеклассница была готова взвыть от отчаянья.

«Вот же не везет!»

— Все, все из-за таких, как ты, любителей этих монстров, загрязняющих атмосферу!

Активист практически навис над ЛедиБаг, собираясь обрушить на нее всю свою ненависть.

«Тикки! Тикки! Хоть кто-нибудь, спасите меня!»

— Многовековое несчастье!

Герой, как и полагается коту, с невероятной маневренностью, проскочил мимо нарушителя спокойствия, дотронувшись рукой до земли. В мгновенье ока та разверзлась, утаскивая за собой помощника Хищной Моли.

 — Кажется, девушка против таких наглецов! — обратился он к застрявшему человеку, самым нахальным голосом, на который был способен в данный момент, и вальяжно приблизился к Маринетт, — Давно не виделись, принцесса, — сказал он, поцеловав руку одноклассницы, — Позвольте вашему рыцарю увести вас отсюда, — и, не дождавшись ответа, притянул брюнетку к себе за талию, взяв на руки. — Держись крепче.

Отталкиваясь от крыш, Адриан решил для начала увести девушку подальше от опасностей, а потом… Потом он собирается передохнуть. Использование чар забрало у него последние силы, и если он не отдохнет, то свалится где-нибудь в обморок.

«Высоко! Чертовски высоко, кошак! Если ты меня уронишь, я прибью тебя!»
Агрест почувствовал, как Маринетт сильнее прижалась к нему, обхватив его шею своими руками.

— Не бойся принцесса, доставлю домой в целости и сохранности. Ты же мне веришь?

— Конечно, Ша Нуар! — почувствовав ее горячее дыхание у своего уха, юноша мгновенно покраснел.

Герой Парижа приземлился прямо у дверей пекарни, которой владел отец девушки, осторожно опуская ту на землю. В глазах стало двоиться, и дышать стало тяжелее. Пришлось опереться о стену здания, чтобы не упасть.

«Только не сейчас. Если превращусь на глазах у Маринетт, то что она подумает?»

— С тобой все в порядке? — заботливо поинтересовалась брюнетка, дотрагиваясь до плеча своего напарника и заглядывая в его зеленые глаза.

— Принцесса беспокоится за рыцаря? Как это мило, мияу! — попытался отшутиться кот, как услышал знакомый писк, издаваемый кольцом. Последнее пятнышко погасло, предвещая неприятности.

— Эм…Это же…— начала было старшеклассница, смотря то на украшение, то на испуганное лицо кота.

«Даже пошевелиться не могу…»

— Не смотри! — прокричал Ша Нуар, пытаясь скрыть свою личность руками.

— Не смотрю!

— Да смотришь же!

— Да не смотрю я! — возмутилась девушка, демонстративно отвернувшись и на всякий случай, закрыла глаза ладонями.

«Не хочу знать, кто он на самом деле! Это неправильно…»

Тишина, не смотря на то, что сейчас был день, угнетала, пульсируя в ушах.

— Эм… Ша Нуар? Ты там как?

Послышалось шуршание.

— Ну так как? Ты еще там?

— Думаю, что-то не так… — послышался обреченный голос парня за спиной. Глубоко вздохнув, Маринетт решила обернуться.

«Будь, что будет!»

— Я смотрю! — решила все-таки предупредить своего напарника ЛедиБаг.

И перед глазами предстала та же картина: тяжело дышавший Ша Нуар, опирающийся о стену.

— А разве ты не должен был стать… Ну как бы… Опять обычным?

— Должен был. Не понимаю, что не так…

Девушка взяла кота за руку, посмотрев на кольцо.

— Оно ведь полностью черное! — удивилась старшеклассница. — Почему ты все еще в этой форме?

«Откуда она знает про камень?»

Адриану даже не пришлось озвучивать свой вопрос. По его нахмуренному выражению лица, ЛедиБаг поняла, что выдает себя.

— Ты… Ты ведь сказал, что когда оно станет черным, ты вновь станешь обычным! Именно… Точно, именно так ты сказал! Ха-ха-ха…

«Я говорил такое?.. Не помню... Слишком устал».

Заметив, что кот опять начинает пошатываться, девушка, предусмотрительно сняла свой жакет и накинула на блондинистую голову, потом закинула его руку себе на плечо, а сама обхватила парня за талию, придерживая и помогая зайти внутрь кондитерской.

— Что это? — спросил Ша Нуар, еле переставляя ногами.

— А вдруг ты сейчас превратишься?

— Хех, тогда, принцесса, мое красивое лицо украдет твое сердце.

— Вау, сам Ша Нуар предупреждает меня! Ха-ха-ха, но прости, мое сердце уже украдено.

«Вот как…»

Маринетт решила уложить кота на свою кровать, видя, как напарнику нужен отдых. Если бы Тикки успела все объяснить, они не оказались бы в такой плачевной ситуации! Акума разрушает город и запугивает людей, она не может превратиться в ЛедиБаг, а Ша Нуар не может снова стать собой. Тяжело вздохнув, старшеклассница посмотрела на парня, между прочим, первого парня в ее комнате.

«Конечно, я мечтала, чтобы это был Адриан, но пришлось действовать по ситуации. Не бросать же его на улице, такого беззащитного».

Пожалуй, это был первый раз, когда она могла увидеть спокойное, и довольно милое лицо Ша Нуара. Даже маска не могла скрыть того, что этот юноша был красив. Лишь через секунду Маринетт поняла, что может без зазрения совести рассматривать это лицо лишь из-за того, что жакет, накинутый ею на улице, сейчас валялся на полу.

«И как я сразу не заметила? Вдруг он и правда сейчас обратится?»

Подойдя к кровати ей, почему-то, захотелось провести рукой по светлым волосам, почувствовать, правда ли они такие мягкие, как кажется. Дотронуться до щек, этих ушек.

«Всегда было интересно, настоящие ли они».

Наклонившись поближе, девушка внимательно рассмотрела длинные ресницы, которым бы позавидовали лучшие модницы Парижа. Еле касаясь волос, провела по ним пальцами, а потом протянула руку к кошачьим ушкам, сначала неуверенно отдернув пальцы. Но, собравшись с мыслями, чувствуя, что краснеет, дотронулась до заветного «плода».

«Стой, они же не…»

— Маринетт? Что ты делаешь? — устало спросил парень, схватив одноклассницу за запястье.

«Слишком близко!»

Хотелось закричать, говорить, что ничего она не делает, покраснеть, упасть в обморок или убежать из комнаты, но решив, что это довольно глупо:

— Они же ненастоящие, — спокойно произнесла девушка, с самым серьезным выражением лица, на которое была способна. Сохранять спокойствие было трудно, особенно замечая все изменения в Ша Нуаре. Поначалу он не понял смысла фразы, но когда мозг начал обрабатывать информацию, а в глазах появлялось понимание, сдерживаться не было сил. Кот вскочил на кровати и прижал уши к голове, пряча их от взора брюнетки и чувствуя, как полыхают щеки.

Такую Маринетт, громко смеющуюся, державшуюся за живот и показывающую на него пальцем, Адриан никогда раньше не видел. Хоть Маринетт, которую он видит каждый день в школе, и была громкой и эмоциональной, сейчас что-то в ней отличалось, от той девушки, сидящей позади него.

— Прости, Ша Нуар, правда… Ха-ха-ха… Прости, я не хотела тебя обидеть.

Но по виду героя было понятно, что его самолюбие, кошачье самолюбие, было задето.

— А то, что у меня вместо хвоста ремень, тебя не удивляет? — оторвав руки от ушек, Агрест стал крутить хвостом, чем вызвал новый приступ смеха со стороны хозяйки комнаты.

Глядя на одноклассницу, юноша тоже тихонько засмеялся, опускаясь обратно на кровать, чувствуя, что слабость вновь дает о себе знать. И это не осталось незамеченным.

— Знаешь, я могу принести снизу еды. Может тогда тебе станет легче? Не зря ведь говорят, что на голодный желудок не повоюешь.

«Помнится, Нино хвалил выпечку, которая была на Родительском дне. Жаль тогда попробовать не удалось».

— Ммм…Я бы не отказался от круасcана. Хотя одно твое присутствие, принцесса, возвращает мне силы. — слащаво улыбнувшись, сделал заказ Адриан.

— Я мигом.

Когда девушка покинула комнату, появилась возможность оглядеться. Спальня была меньше, чем у него, но обставлена уютнее и милее, что не удивительно, все-таки это обитель девушки. На столе было много бумаг, с различными эскизами и рисунками.

«Точно, Маринетт ведь даже шляпку тогда сделала, жаль не знала, что у меня аллергия на перья. Ха, тот день был просто ужасен, голуби, везде были голуби!»

В груди вдруг стало теплеть, а в пальцах привычно покалывать, предупреждая о том, что Плагг окончательно выдохся и нуждается в подкреплении. Комнату озарил белый свет, и именно в этот момент, Агрест услышал звук шагов со стороны лестницы.

«Только не сейчас!»

— Маринетт, не входи!

ЛедиБаг зашла в комнату, неся на тарелке два больших крусана и слишком поздно услышала предупреждение. Но почувствовав, как яркий свет слепит глаза, моментально отвернулась от своего напарника. Девушка почувствовала, как в сумке зашевелились и свободной рукой, прижала ее к себе, не давая Тикки вылезти.

— Эм… Ша Нуар? На этот раз все сработало?

— Да… Маринетт… — начал юноша, но его сразу же перебили.

— Нет-нет-нет! Не разговаривай! Ха-ха-ха… Знаешь ли, у меня очень хороший слух. И… Эм… Произнесешь еще хоть слово, я запомню твой голос! Тебе ведь не нужно, чтобы я внезапно узнала тебя на улице? — громче, чем следовало бы, произнесла ЛедиБаг, махая рукой, и показывая указательный палец, призывая блондина молчать.

Сзади сначала послышался глубокий вздох, будто бы герой хотел что-то сказать, но передумал и резко выдохнул.

— Выход вон там!

Старшеклассница почувствовала, как тяжелая ладонь легла ей на плечо, выражая благодарность за помощь и от чего сердце быстро-быстро забилось.

Половицы заскрипели, говоря об уходе гостя, и Маринетт зажмурилась еще сильнее, борясь с желанием посмотреть, кто же скрывается под черной маской, но телом она все еще ощущала его присутствие в комнате.

— Ты почему не уходишь? — удивилась девушка, а потом почувствовала, как тарелка в ее руке стала легче. — А-а… Ну, приятного аппетита.

И она осталась в комнате одна. Квами моментально выбралась из сумки и тяжело задышала.

— Маринетт, неужели это случилось?! Я совсем забыла рассказать! Раз в несколько лет, мы, квами, засыпаем на час, подзаряжаясь энергией! И в это время ты не сможешь стать ЛедиБаг!

— А Ша Нуар значит, не смог бы снова стать обычным, да? — уточняла спасительница, глядя на пустую посуду у себя в руках, отмечая про себя, что час мог бы истечь и через несколько минут…

Выбежав из пекарни, Адриан первым же делом побежал в сторону дома, ведь Плагг должен подкрепиться.

— Ну и что это было? Почему я не смог вернуться? —раздраженно спрашивал юноша у своего квами, летящего рядом. Агрест решил, что на велосипеде добраться до места будет быстрее, поэтому одолжил один, лежащий на дороге, при этом, аккуратно обращаясь с бумажным пакетом пекарни, в который предусмотрительно завернул выпечку.

— А-а… Ну такое иногда бывает, — позевывая ответил маленький котик, — Раз в пару лет, но мне лень отслеживать закономерность, так что… Не думал, что это случится сегодня.

Крутя педали, как можно быстрее, Ша Нуар заметил, как небо озарилось красным, и розовое облако возвращало все на свои места.

«Значит, моя Леди справилась и без меня».

На следующий день в школе.

Маринетт посетило чувство дежавю, когда Адриан вновь появился из ниоткуда рядом с ее шкафчиком.

— Д-доброе утро, Адриан!

— Привет, слышал, ты опять встречалась с Ша Нуаром?

— А, да, представляешь, он меня вчера спас! Ха-ха-ха… Я оказалась не в то время и не в том месте, — краснея, говорила старшеклассница, стараясь не смотреть в глаза юноше.

«А вчера она была более открытой и… Собой…»

— Ну так как, все еще думаешь, что он не плох?

— А-а? Эм… Ну… — Маринетт по-настоящему задумалась, отвечая на этот же вопрос во второй раз. Вчера кот вел себя по-другому, не так, как обычно ведет себя с ЛедиБаг. Он был не мартовским котом, а беззащитным котенком, смущающимся и берегущим свои уши. — Думаю, — брюнетка посмотрела своему однокласснику в глаза, — Ша Нуар — хороший человек.

Незаметно подошли Нино и Аля, которая сразу же повела за собой подругу, рассказывая о вчерашнем дне и о том, что ЛедиБаг уж очень долго не появлялась, из-за чего блоггерша очень волновалась. Нино хвастался новым телефоном, в котором «самая крутая камера в мире», заставляя Адриана лишь молча улыбаться.

«Хороший человек значит?»

— Хех, тогда, принцесса, мое красивое лицо украдет твое сердце.
— Вау, сам Ша Нуар предупреждает меня! Ха-ха-ха, но прости, мое сердце уже украдено.

«Интересно, в кого же ты влюблена?» — подумал парень, смотря вслед впереди идущей девушке.",G,Нет,Джен,Чудесная божья коровка (Леди Баг и Супер-Кот),Повседневность,1
5,Хана_Вишнёвая,"Хорошо, что в онлайне...",/readfic/976294,"Хорошо, что в онлайне не слышно чужого смеха.","Драббл,Повседневность,Стихи",5612,2013-07-04,251,123,"Хорошо, что в онлайне не слышно чужого смеха,
И не надо тогда скалить зубы свои в ответ.
И что голоса нет, и оттенков его, и эха –
Если было бы всё – под угрозу б встал нейтралитет.

Хорошо, что в онлайне не видно чужого взгляда,
Выражений лица, когда душу прихватит спазм.
И когда с языка срываются капли яда –
В том онлайне нам виден всего безобидный (?) сарказм.



Хорошо, что онлайн – это только пустые строчки.
Хорошо, что в онлайне себя самого дурачишь.
Ставишь смайлики там, где должны быть большие точки.
… хорошо, что в онлайне не слышно, как кто-то плачет.",G,Нет,Джен,Ориджиналы,Повседневность,1
