id,author,title,link,description,tag,likes,date,review,size,text,rating,status,parts,romance,fandom,genre
1,Olivia,Герои недописанных историй,/readfic/1920934,"Герои недописанных  историй,
замерзшие во льду своих страниц,
обломки искривленных траекторий,
лишенные судьбы, души и лиц.","Ангст,Драма,Стихи",13469,2014-04-28,1118,0,"Герои недописанных историй,
Замерзшие во льду своих страниц,
Обломки искривленных траекторий,
Лишенные судьбы, души и лиц.

Оставлены творцом на полдороге,
Забыты, как ненужный чемодан,
Развратники, монахи, недотроги,
Правители земель, планет и стран
 
И просто люди, созданные как-то 
В один из долгих зимних вечеров, 
Но стали планы, образы и карты
Всего лишь смятым топливом костров.
 
И с каждым днем снижался градус пыла
В душе творца и январился взгляд.
Река сюжета попросту застыла, 
По ней разлился брошенности яд.
 
И вмерзли в недописанность герои, 
Исчезла жизнь из ледяных сердец,
Напрасно проливались реки крови,
Остался в неслучившемся конец.

Архивы недописанных историй — 
Музей покрытых инеем фигур.
Погост метафор, свалка аллегорий — 
Устроить можно знатный некротур.
 
А лучше разморозить все страницы 
И сотни душ мгновенно оживить.
Отбросить «не хочу» и потрудиться — 
Допрясть из судеб радужную нить.",PG-13,Закончен,Нет,Джен,"Ориджиналы,Dragon Age",
2,"Джoкер,Дмитрий Крамер",О войне писали много,/readfic/1743853,"Прах от тел, скелеты зданий,
Лес сгоревший за пригорком...","Ангст,Драббл,Стихи",6619,2014-03-05,432,0,"О войне писали много,
Как летит на землю пламень
И за миг, под стон Господень,
Превращает землю в камень.

Прах от тел, скелеты зданий,
Лес, сгоревший за пригорком.
И никто в войне не крайний,
Только страшно всем и горько.

Здесь не ищут виноватых,
Все срослись с тяжелой ношей.
Кто погибнет - не забудут.
Только назовут ""Алеша"".

Измеряют войны в цифрах,
Измеряют войны в датах,
А средь мин, в полях зарыты,
Спят безвестные солдаты.

Спят и видят сквозь могилы,
Как, собрав в ладони слезы,
Мать-старушка, что есть силы
Молит Бога под березой.

Чтоб вернулся, тихо просит.
Не на смерть ведь посылала.
Только сын лежит меж сосен
Под небесным покрывалом.",NC-17,В процессе,Нет,Джен,Ориджиналы,
3,"лунный мечтатель полтергейста,Julia-Lia,DaNikky",Невыносимое создание,/readfic/8603938,"У мальчишки Поттера глаза его деда и та же привычка дразнить Малфоев – Люциус осознаёт это, наблюдая, как мечется сын по гостиной мэнора, после второго курса. Кажется, после первого было то же самое, нет?","AU,Ангст,Детская влюбленность,Дружба,Наставничество,ООС,Пре-слэш,Реинкарнация,Романтика,Сложные отношения,Тайная личность",5392,2019-09-03,97,0,"      - Ты! Ты украл у меня слугу! 
      Люциус хватается за палочку, желая всего лишь проучить наглого мальчишку, а безумный эльф отправляет его в полёт, просто щёлкнув пальцами. Мордредово создание! Лорд Малфой подскакивает, чертыхаясь на попавшую в глаза прядь, и внезапно ловит иронично-насмешливый взгляд изумрудных глаз, спотыкаясь об него, как о внезапно выросший порожек.
      В голове, словно вторя его собственным мыслям, раздаётся сдержанно-весёлый голос.
      “Но ведь ты и сам знаешь, что эльфам так свободу не дарят, Люциус. Только если сам не желаешь избавиться от слуги”.
      Голос принадлежит не мальчишке – это точно, а взрослому, уверенному в себе магу. Впрочем, сиятельный лорд не уверен, не показалось ли ему. Он зло поправляет сбившуюся мантию и шипит что-то раздражённо-угрожающее, разворачиваясь на каблуках. Его маленькая импровизация накрылась медным тазом.
      Чёртов Поттер! Глупый ребёнок! Несносный мальчишка!
      Только достигнув ворот замка, Люциус останавливается. Уже спокойный и собранный, немного раздосадованный, что так и не удалось просканировать здоровье гриффиндорца на предмет травм – он, может, и слизеринец, но всё-таки взрослый маг и состоит в Совете Попечителей. Остаётся надеяться, что мальчик сам вспомнит об этом и сходит в больничное крыло. Почему-то кажется, что от Дамблдора ждать подобного напоминания не стоит. Надо будет сказать Северусу…
      Волшебник рассеянно поводит плечами, погружённый в свои мысли, и вдруг вздрагивает, вспоминая и чужой голос, и упрямый взгляд...
      Да быть не может!
      
      ***
      
      Когда люди смотрят на маленького Поттера, все как один говорят: вылитый Джеймс, только глаза от Лили. 
      И это воистину смешно – по какой-то причине все забыли, что у Лилиан Эванс глаза были болотного цвета. Светлого оттенка, немного серые, чуть-чуть голубого и лишь на оставшееся – зелень пожухлой листвы. Зелёные, да, грубо говоря, но не изумрудные.
      А вот такая яркая, сочная зелень, словно вспышка смертельного заклинания – от рождения была лишь у Флимонта Поттера. Отца Джеймса. Совсем не странно, что об этом не помнят, ибо тот – артефактор и зельевар – всю жизнь носил очки, искажавшие цвет глаз до неузнаваемости, просто в силу специфики чар, наложенных на стёклышки.
      
      ***
      
      Маленькому Люциусу шесть, когда с изумрудным, каминным пламенем в мэнор влетает мужчина-маг с сумасшедшей улыбкой. Пламя отражается в его глазах, отплясывая дикий танец на матовых стёклах очков.
      - Абри, у меня сын!
      Он подхватывает всегда строгого, серьёзного папу под локти и с хохотом кружит по холлу, куда Люциус зашёл по своим делам (вообще-то, просто удрал от старого домовика и нудного учителя).
      - Флимонт! – раздражённой коброй шипит отец. – Ты пьян?!
      - От счастья! – не отрицает волшебник.
      Действующий Лорд Малфой ругается себе под нос и одним плавным движением закидывает мужчину себе на плечо. Тот не сопротивляется и всё так же хохочет.
      - Мордредов Поттер! – вздыхает Абрахас, закатывая глаза, унося внезапного гостя в гостевое крыло.
      И только когда они скрываются за поворотом, Люциус осмеливается выдохнуть, даже не замечая, когда успел задержать дыхание.
      Так он впервые увидел Лорда Поттера.
      
      ***
      
      Флимонт Поттер часто заглядывает к его отцу, принося с собой весёлый смех, танцующие блики пламени и запах нагретых на солнце камней в летний день. Он всегда является без предупреждения, в обход всех правил и смеётся над любой защитой, что им ставят зарубежные специалисты за баснословные деньги.
      Отец кривится, раздражённо шипит под нос и грозит карами, но никогда не прогоняет. Люциус видит, как расправляются его напряжённые плечи, оживает вечно безразличное лицо-маска и теплеет взгляд, когда он наблюдает за полным энергии магом.
      - Что же ты за невыносимое создание, Поттер? – шепчет он ему вслед, когда тот растворяется в изумрудном пламени.
      В этом шёпоте Люциус слышит тоску и жажду, которая никогда не будет удовлетворена.
      Он не понимает.
      
      ***
      
      - Ай!
      - Люциус!
      - Простите-простите-простите!
      - Ой, да ладно тебе, Абри! Гордись сыном! Он сбил очки с Поттера!
      Уже не маленькому, десятилетнему Люциусу неимоверно стыдно. Он зачаровал бумажный самолётик, чтобы показать отцу, как управляет им с помощью заклинания левитации, но тот взбрыкнул и улетел прямо в лицо Лорда Поттера, сбивая с него очки.
      Живая сталь во взгляде старшего Малфоя мечет гром и молнии, а Флимонт лишь тихо посмеивается, растирая глаза пальцами. Абрахас поджимает губы в тонкую линию, грозно сводя брови.
      - Не стоит переживать. Не ругай ребёнка, Абри. Всё хорошо.
      Тяжёлая тёплая рука опускается на светловолосую макушку, взлохмачивая короткие волосы.
      …глаза без очков неожиданно оказываются изумрудными.
      
      ***
      
      - Разве Легилименция возможна без палочки? 
      Люциусу четырнадцать, и Лорд Поттер неожиданно для него согласился дать пару уроков ментальных наук. Отец сидит рядом и тихо фыркает, когда что-то кажется ему смешным или глупым. Флимонт укоризненно смотрит на друга и качает головой.
      - Конечно. Посмотри мне в глаза.
      Юный волшебник подчиняется и ему кажется, будто кто-то пёрышком проводит у него в голове.
      “Это называется поверхностным чтением. Для него не нужна палочка. Запомни это чувство и постарайся не смотреть в глаза тем, с кем не уверен в своих силах.”
      - Спасибо, сэр! 
      Он искренне рад, что такой сильный и могущественный волшебник тратит на него время и силы. Люциус сияет солнышком, проявляя на взгляд отца “слишком много эмоций”, и лишь у себя в комнате осмеливается додумать, покрываясь алым румянцем.
      “А ещё он очень красивый”.
      
      ***
      
      В свои шестнадцать, встречи Лорда Поттера с Тёмным лордом Люциус подсознательно опасается. Он знает от отца, да, и сам видел – Флимонт ни перед кем не преклоняет колени, не занимается подобострастием и ненавидит лицемерие, в то время как давний товарищ отца не терпит неповиновения. Лорда не было в стране десять лет, вряд ли он сильно изменился.
      Но всё проходит хорошо. 
      Одновременно невероятно и странно.
      Они сталкиваются на приёме в Министерстве – Лорд Поттер под руку с супругой, но без сына, говорят, тот приболел, и Лорд Гонт в окружении своих сподвижников. Чинно кивают друг другу – как равные, и расходятся. 
      Чтобы Тёмный лорд принял кого-то, как равного?
      На следующий день он видит их обоих из окна в саду мэнора – и молится, чтобы они не увидели его. Флимонт, может, ничего и не скажет, посмеётся только, а вот Лорд и проклясть может.
      Лорд Поттер сидит на белоснежной лавочке, а Тёмный лорд, которого волшебник нежно гладит по голове, обнимает его поперёк талии, стоя на коленях – на коленях!!! 
      Незаметно подошедший отец осторожно отводит Люциуса от окна.
      - Флимонт спас его во время бомбёжки Лондона. Они хорошо знакомы.
      - Но почему тогда он не среди Вальпургиевых рыцарей? 
      - Потому что это решение Марволо.
      
      ***
      
      Люциусу двадцать три, и у него на носу помолвка с Нарциссой Блэк во Франции, когда приходит весть от отца. Чёрный родовой филин приносит короткое письмо в несколько строк. 

      “Поттер-мэнор сожжён Адским пламенем. 
      Лорд и Леди Поттер погибли.
      Тел не осталось. 
      Обвинения пали на Рыцарей Вальпургии.
      Не появляйся дома в ближайшие дни”.
      Ровные строки никак не желают укладываться в голове. Там только один, почти детский вопрос: что же теперь будет?
      Лучше бы не спрашивал. 
      Дальше только кровь и Ад, который прервётся только в октябре 1981-го.
      
      ***
      
      Когда-то, именно Флимонт Поттер учил его правильно бить правой и отправлять противников в полёт без всякой палочки. Поэтому у Артура Уизли не было ни единого шанса, если бы их не растащил неотёсанный болван Хагрид.
      Вот только… тогда Люциус подумал, что ему показался насмешливый хмык Мальчика-который-выжил.
      
      ***
      
      У мальчишки Поттера глаза его деда и та же привычка дразнить Малфоев – Люциус осознаёт это, наблюдая, как мечется сын по гостиной мэнора после второго курса. Кажется, после первого было то же самое, нет?
      - И знаешь, что он мне сказал, выходя из поезда? – восклицает Драко. – Не нервничай, Малфой. Покорми дома павлинов – успокаивает. Гарантирую. Поганый сын грязнокровки! – мальчик резко останавливается и почти спокойно добавляет. – Интересно, кто ему сказал про наших павлинов? Отец?
      Люциус и сам понимает, что лицо удержать не получается.
      - Иди-ка ты… покорми павлинов, сын, – наконец, отмирает сиятельный Лорд.
      - Но…
      - И лучше не называй его сыном грязнокровки.
      - Но…
      - Иди-иди. У Поттера хороший хук справа.
      
      ***
      
      Собственно, через два года Лорд Люциус Малфой будет полностью уверен в своём решении – когда молодой Поттер докажет на практике, что даже змеиный нос можно разбить одним правильным ударом, а прочувствованный, экспрессивный мат – даже на парселтанге - в переводе не нуждается.
      
",R,В процессе,Нет,Джен,"Naruto,Люцифер,Гарри Поттер,Life is Strange,Мстители,Роулинг Джоан «Гарри Поттер»,Железный человек,Лукьяненко Сергей «Дозоры»,Меч",
4,Хана_Вишнёвая,Ангелы падают,/readfic/1119388,Серый асфальт – конечная.,"Ангст,Драббл,Стихи,Эксперимент",5216,2013-08-19,181,0,"Ангелы падают.
Ангелы падают вниз.
Крылья не держат, сильнее теперь гравитация.
И разбиваются в тысячи мелких брызг.
Белый.
И чёрный.
Зачем им такая градация?
Цвет этих крыл…
Он не имеет значения.
Ангелы падают.
Ангелы падают.
Всё.
Не заслуживши Господнего Всепрощения,
Ангелы падают, веря, что им свезёт.
Им не везёт.
Серый асфальт – конечная.
Сядем на лавочке, купим билет в метро.
Жизнь – это тварь, как демоны, бессердечная,
Лживая, как лицемерное их добро.
Ангелы падают.
Каплями.
Воском.
Перьями.
И оседают дождиком на пальто.
Ангелы верили, ангелы вечно верили,

Только теперь задаются вопросом:
Во что?
",R,В процессе,Нет,Джен,"Aika 2,Ориджиналы",
5,"LuckyLuke,Рыжая ящерица",Меня зовут Сэм,/readfic/3911101,"Меня зовут Сэм. Вернее, звали - в последней жизни, проведённой на земле. Это было чудное имя, особенно для такого простого дворового кота, как я...","Hurt/Comfort,Ангст,Соулмейты,Эксперимент",4881,2015-12-29,403,0,"Меня зовут Сэм. Вернее, звали — в последней жизни, проведённой на земле. Да, меня звали Сэм. Это было чудное имя, особенно для такого простого дворового кота, как я.

Это было в моей предпоследней жизни. Восемь раз я уходил по радуге. Восемь раз оказывался здесь, в этом месте, куда рано или поздно попадают все коты.

И сейчас я стою перед тяжёлым выбором. Хотя, сказать по правде, выбор уже сделан, и в данный момент я просто уговариваю сам себя, что поступать нелогично — это нормально. Идти на поводу у чувств — естественно. И вообще, я — кот, и мне можно всё.



Мы все однажды встречаем своего Человека. Того, к кому привязываемся всеми фибрами души. И уже после этого не возвращаемся с радуги туда, в мир живых, а остаёмся ждать здесь. Ждём до тех пор, пока Он, наш Человек, не приходит за нами и не забирает с собой навсегда.

Почему? Всё очень просто: встретить Человека можно лишь однажды, а воспоминания из прошлых жизней стираются, когда спускаешься с радуги. Нет ничего страшней, чем забыть того, кого любишь. Это почти так же страшно, как то, что он никогда не узнает тебя в новой жизни…

Я расскажу вам свою историю, и тогда вы, возможно, поймёте, как непросто даётся мне это — принять свой собственный выбор.


Я не знаю никого, кто бы возвращался, уже встретив Человека. Здесь, по эту сторону радуги, лишь те, кто уже Его нашёл и ждёт, когда Он придёт насовсем, или те, кто ещё не встретил, но готов к новой жизни, чтобы искать. Я нашёл. И всё же я возвращаюсь.

С самого начала, с самой первой жизни мне не везло. Говорят, в этом виноват цвет моей шерсти. Про чёрных котов испокон веков складывают легенды, приписывают нам магические силы и прочую ерунду. Но мы не отличаемся от рыжих, серых, пятнистых и полосатых. Разве что в темноте нас хуже видно…

Мою первую жизнь я начал в старой коробке. Нас просто выкинули на обочину проезжей части. Вместе с мамой. Почти все мои сёстры и братья умерли в тот же день, мама пережила их всего на пару недель. Остались только мы с братом. Он был крепче, сильнее, отважней, и именно он помог мне выжить. Мы вместе учились ловить мышей в подворотне, убегать от злых человеческих детёнышей с палками и камнями, прятаться от собак. Нам пришлось научиться жить в этом совсем неприветливом мире. Иногда на нашем пути встречались и добрые люди…

Уже тогда мы знали, что цель всей нашей жизни — найти своего Человека. Мы искали каждый день, заглядывая в глаза прохожих, ждали, что встретим Его случайно. Искали сознательно, рискуя, подходили к тем, кто казался менее опасным, чем остальные.


Найти пропитание и убежать от огромного пса — это не самое сложное в жизни бродячего кота. Самое сложное — не ошибиться в человеке. Иногда за личиной доброго и отзывчивого прохожего скрывается живодёр. Мой брат ошибся лишь однажды. Этого оказалось достаточно.

Нет, мы не боимся умирать. Мы боимся умирать, не встретив того, кого искали. Ведь там, за радугой, нас ожидает вечность одиночества…

Больше я не видел своего брата. И мне пришлось выживать одному. Это было сложнее, чем я думал. В одиночку было сложнее ловить мышей, сложнее найти место для ночлега и — самое главное — холодно. Я не пережил первую зиму…

В следующий раз мне повезло немного больше: я родился на ферме. Хозяин не сильно меня любил: гонял, кричал и топал ногами. Но, по меньшей мере, у меня был дом. Странный, но единственный, который я знал на тот момент. Мне можно было спать на сеновале, под крышей. Да и мышей там было много. А иногда мне даже давали молока: тёплого, парного. Оно напоминало мне что-то далёкое и давно забытое, светлое, родное. Хотя после него я часто болел… Ту жизнь можно назвать почти счастливой. Правда, прожил я недолго, всего пару зим, и однажды по неосторожности съел отравленную крысу…

Потом было ещё одно возвращение с радуги, и та жизнь казалась мне райской. Поначалу… Я жил в огромном доме, где меня любили. Я так думал. Меня расчёсывали и мыли ужасным вонючим мылом, уверяя, что это хорошо для моей шерсти. Я даже почти не сопротивлялся: для приличия немного шипел и супился. После таких водных процедур меня куда-то везли. Поездки в машине я не любил, как и сами эти странные встречи: там собиралось огромное множество людей и других котов, таких же — в клетках. На нас пялились, глазели, пытались тыкать пальцами. Было очень шумно и ярко. Очень хотелось вырваться из клетки и убежать. Или, на худой конец, забиться в угол и забыться. Именно так я и делал. Терпеть такие показательные выступления приходилось не часто, но после них мне давали вкусно поесть, разрешали лежать на мягкой подушке и даже чесали за ухом. В общем, жизнь казалась мне почти идеальной.

А потом я заболел… Сначала начал болеть живот, словно там что-то мешало, и я пытался выплюнуть этот ком. Но хозяйке не нравилось, что на её ковре стали появляться пятна. Хотя я вовсе не разделял её восторга от этого пылесборника, в котором постоянно зацеплялись мои стриженые когти. Когда же до хозяйки наконец-то дошло, что я не «тупое животное», а мне что-то мешает, меня повезли к ветеринару. Страшный! Страшный человек! Он колол меня какими-то острыми предметами, срезал шерсть с лапы и живота, а потом что-то рассказал моим хозяевам… В тот же день я оказался в приюте.

Приют оказался не таким уж ужасным местом, как я себе его представлял. Это я понял в следующей жизни. Там я оказался ещё котёнком, и хотя мне говорили, что меня скоро заберут, потому что я совсем маленький и у меня хорошие шансы, но никто так и не пришёл. Там меня хорошо кормили: не так часто, как в богатом доме, но чаще, чем на улице. Единственное, что было плохо, так это жить взаперти. Как искать своего Человека, когда тебя закрыли в четырёх стенах? Для этого нужно в большой мир…

Впрочем, там я оказался в одной из следующих жизней. Я жил на улице. Жил в доме с огромным количеством человеческих детёнышей, где меня таскали за хвост и отрезали усы. Жил в доме у чокнутой старухи: нас было много, и она постоянно путала имена, забывала, кого уже кормила, а кого нет.


Когда я спустился с радуги в восьмой раз, то снова оказался на улице. Но теперь я был уже учёный, знал, как выживать в этом мире. Признаться, я ещё лелеял надежду встретить своего Человека. И однажды это случилось…

Она подошла ко мне на улице. Сама. Я сидел на скамейке, греясь в лучах весеннего солнца и зализывая раны от недавнего сражения с другим котом за территорию. Сначала я напугался, хотел по привычке убежать, но… почувствовал её запах. Она пахла парным молоком и горячим хлебом. И Она улыбалась. Не так, как улыбаются те, кто собирается дёрнуть тебя за хвост. И не так, как улыбаются те, кто хочет заманить тебя в живодёрню. От Её улыбки веяло теплом.

Она забрала меня к себе в маленький, старый домик с покосившимися ставнями на окраине города. В нём было уютно и светло. Я сразу почувствовал себя дома. Я нашёл своего Человека. Свою Женщину.

Она промыла мне ухо и рваную рану на шее — я старался не шипеть от боли, потом накормила сметаной и долго, долго и мягко гладила по шёрстке. Я был счастлив. Первый раз за все свои восемь жизней я был счастлив.

А потом пришёл Он. Он тоже жил там и приходил в этот дом — наш дом — каждый вечер. От него постоянно пахло чем-то кислым и резким. Он разговаривал очень громко, заплетаясь в словах, а иногда орал так, что мне приходилось прятаться под кровать.

Меня он не любил и постоянно требовал, чтобы Она выгнала «бесполезное животное» на улицу. Она не выгоняла. Я знал, что она никогда этого не сделает.

Чтобы не сердить Его, я старался не показываться Ему на глаза: прятался под кровать, сидел там, пока не станет совсем темно, и только тогда выходил во двор. Там у меня было своё место, где я мог ночевать. Конечно, там было не так уютно, как в доме, но это было неважно.

Однажды утром, когда Он ушёл из дома, я вернулся и увидел, как она плачет… Они постоянно ссорились, а в тот день он первый раз её ударил. Я много раз видел, как дерутся коты — за территорию, за кошек. Видел, как кошки дерутся, защищая своих котят. Видел, как мои сородичи дерутся с собаками, если не удавалось удрать. Но ещё никогда не приходилось мне видеть, как дерутся люди…

Она проплакала почти весь день. Я всё время сидел рядом, иногда Она брала меня на руки, обнимала, крепко прижимая к себе, и вытирала слёзы о мою шерсть. Я не люблю, когда меня тискают, но это было единственное, что я мог сделать для Неё тогда.

Такие дни стали повторяться. Проходил месяц за месяцем, и Их ссоры становились всё чаще. Всё громче. И всё более жестокими… Однажды я услышал крики, и, не дожидаясь, как обычно, пока Он уйдёт из дома, я протиснулся в приоткрытую дверь. Оказался в комнате я ровно в тот момент, когда Он замахнулся, подняв руку над Её головой.

Конечно, я прекрасно знал, что меньше его во много раз и в прямой схватке у меня нет ни единого шанса, но что-то перевернулось внутри меня: я вспомнил все те дни, когда Она плакала, Её красные от слёз глаза, дрожащий голос… Прокусить человеческую кожу оказалось гораздо проще, чем я предполагал. Я вцепился в Его руку клыками и что есть мочи рвал когтями. Человеческая кровь оказалась солёной и противной на вкус. Он кричал ещё громче обычного, пытаясь отодрать меня от себя, но я лишь сильнее хватался за уже разодранный в клочья рукав.

А потом всё резко исчезло. Я обо что-то стукнулся. Обо что-то твёрдое и холодное. Перед глазами потемнело, во рту собралась горечь, и…

Так я оказался здесь, за радугой, в этот раз.


Я бы мог остаться здесь и ждать её прихода. Она обязательно придёт за мной. Так всегда бывает с тем, кого мы называем своим Человеком. Иначе быть не может. Я мог бы сидеть на этой зелёной поляне, смотреть за бабочками или даже ловить их, а потом уйти вместе с ней туда, куда уходят все люди.

Но я не могу. Я должен вернуться. На свой страх и риск. Я знаю, что на время новой — последней — жизни забуду всё. И знаю, что, даже если каким-то чудом мне удастся найти Её, Она не узнает меня… Люди говорят, что у нас девять жизней, но сами не верят в это. Не всерьёз. Не на самом деле.

Она не узнает меня. Я не буду знать о ней. И всё же я возвращаюсь. Я просто не могу поступить иначе…


Кто говорит, что умирать больно, просто не помнит, как больно рождаться заново. Я осознал это в полной мере, только родившись в девятый раз. Поселился я на портовой улице с другими котами. Здесь было уютно. Тепло. И совсем недалеко находилась городская мусорка, где практически в любую погоду можно было найти что-то съедобное. В крайнем случае, мышей — они тут кишмя кишели.

Мои дни проходили один за другим. Как и все, я пытался найти своего Человека…

Но что-то всё время шло не так. Нет, не найти Человека — не редкость, за радугой много таких сирот. Но меня не покидало ощущение того, что я должен что-то сделать. Что-то очень важное.

Я долго пытался понять, что именно, и иногда мне казалось, что я близок к решению: что-то мелькало в голове, какие-то мысли, какие-то чувства… Но много думать не было времени: мы должны были выживать. Нас постоянно гоняли из порта. Конечно, людям с сетями не нравилось, что мы воруем их рыбу. Но она намного вкуснее, чем объедки с мусорной кучи. И питательней: после неё можно целые сутки не есть.

Мои сородичи относились ко мне с уважением. То ли потому, что я был старше и крупней, то ли оттого, что сказывался опыт предыдущих лет и жизней… Да, я знал, как найти еду, как спрятаться от непогоды… И как-то само собой вышло, что я стал предводителем. С того дня меня всё меньше мучали сомнения: меня словно поставили на место, где я должен был быть. Стало спокойно. И легко.

У меня появилась миссия, и она занимала все мои мысли. Но вместе с ответственностью пришли и проблемы: теперь я должен был защищать не только себя, но и свою стаю.

Всё изменилось в один день. Мы были в порту, на рынке. Кто-то выкрикнул боевой клич, и я ещё не успел понять, что это было на этот раз — машина живодёров или соседская стая котов, как почувствовал запах… такой родной, знакомый запах парного молока и горячего хлеба.

На одну секунду перед глазами всё поплыло, поблёкло, превращаясь в чёрно-белую массу. И я вдруг вспомнил… Вспомнил эти тёплые руки, ласковый голос, нежные глаза. Вспомнил Её — мою Женщину.

Уже в следующий момент я снова был на лапах и в бою. На этот раз мы дрались с людьми. Дрались… Скорее, спасались: нас ловили сачками — огромными сетями, похожими на те, что использовались для ловли рыбы. Мы сами стали добычей… Кто-то дал дёру, кто-то прятался, а я видел, как Мелкого из нашей стаи поймали в сачок. Он был ещё почти котёнок, едва научился охотиться сам, и вот его поймали. Я не мог оставить этого так — и, снова понимая, что у меня нет шансов против большого человека, я кинулся на него.

Он что-то кричал, кажется, ругался. А я кусал, рвал когтями, рычал что было сил. Меня схватили за шкирку, больно потянув за шерсть. Но я вывернулся, с новой силой вцепившись в волосатую руку. Сачок упал на землю, Мелкий заскулил, но тут же вскочил на лапы и, не без труда вывернувшись из сетки, бросился наутёк. Теперь была моя очередь…

И мне это удалось: полоснув обломками когтей по держащей меня руке, я зашипел, с внезапно прилившими в лапы силами дёрнулся и… оказался на свободе. Человек что-то кричал, и если бы я слушал его или обратил внимание на машину «живодёров», то понял бы, что сражаться с ними нам не стоило. На заднем стекле была надпись «Приют домашних животных»…

Но я был напуган и зол. И ещё больше — растерян. В носу всё ещё стоял тот запах. Запах, который я искал, сам не осознавая, что ищу.

Лишь оказавшись в ближайшей подворотне, я, поскальзываясь на мокрой мостовой, забился под забор и замер. Нужно было отдышаться, прийти в себя и почувствовать. Я был ранен: потерял несколько когтей, порвал ухо, зацепившись за острый край сачка, и… кажется, сломал ребро. Всё это меня занимало мало, куда больше я боялся потерять запах — единственное важное для меня в этой жизни.

До вечера я сидел в своей засаде и, лишь когда стемнело, решился выйти. На переднюю лапу наступать я не мог — было чертовски больно. К тому же, как выяснилось, был повреждён глаз: он начал слезиться, отчего передвигаться по тёмным улицам стало ещё сложней. И я успел испугаться, что от боли не смогу найти нужный мне запах. Но переживания были напрасны.

Запах был таким сильным, что не почувствовать его было просто невозможно… Я шёл как заворожённый по пути, которым он вёл меня. Хромая и иногда падая на холодные камни, я вышел на окраину города. Какая-то дюжина миль разделяла меня с той, кого я искал столько лет.

Дом выглядел более старым, чем я его помнил, но в утреннем свете казался таким родным, как никогда прежде. Рядом с дверью всё ещё стояла скамейка, на которой я спал по ночам, когда приходил Он.

Мне стоило больших усилий забраться на подоконник. В доме было темно… Лишь первые солнечные лучи освещали спальню. И я увидел Её… Она спала на всё той же кровати, подложив под щёку сложенные вместе ладошки. Так же улыбалась во сне. И лишь на её голове было чуть больше серых волос, чем раньше.

Тёплое, нежное чувство наполнило мою кошачью грудь. Я не знал, что это, но… Мне показалось, что, будь я человеком, я бы заплакал. И слёзы катились бы по моим щекам, как когда-то по Её. Пусть я был всего лишь котом, но каждый кот становится всесильным, когда встречает своего Человека.

Я смотрел на неё долго… Пока боль и усталость не стали побеждать. И я сдался: спустился вниз, лёг на старую подушку на скамейке, где спал столько раз прежде, и уснул.

Мне снилась радуга…

Тёплые, нежные руки гладили мою шерсть. Я проснулся резко, как от толчка. Инстинкт бежать был сильным. Просто огромным, но запах был сильней. Лишь вздохнув один раз, я снова расслабился. Если бы я был человеком… я бы улыбался. От попытки урчать всё тело пронзило болью, и я издал странный звук, похожий на шипенье и крик одновременно.

— Спокойней, милый, — произнёс такой родной голос. — Всё будет хорошо. Мы вылечим тебя, ты снова будешь как новенький.

Я смотрел на Неё и не верил своему счастью. Я нашёл Её, и Она держала меня на своих коленях, гладила и успокаивала. Я чувствовал её запах. Её и свой. В этом доме больше не пахло никем.

Его больше не было… Не знаю, говорило ли о чём-то фото в черной рамке на стене или отсутствие Его вещей, но я точно знал, что Он ушёл и не вернётся больше никогда. Здесь были только мы вдвоем: я и Она. Мой собственный Человек.

Она принесла мне тёплого молока и сметаны, предлагая выбрать самому. Я был голоден, очень голоден. Но куда больше мне нужно было другое, и, уткнувшись в тёплую руку, я заурчал. Мягкая ладошка гладила мою спину, и я почти забылся, когда нежный голос произнёс:

— Я так долго тебя ждала, Сэмми.",NC-17,В процессе,Нет,Джен,Ориджиналы,
